employee_id,hire_date,department,salary,age,full_time
101,2021-01-15,Finance,"$95,000",34.0,Yes
102,2020/02/20,HR,78000,29.0,Y
103,March 3 2019,IT,105000,41.0,True
104,2018-07-01,Finance,not available,38.0,No
105,2017-11-31,Sales,"$88,500",,N
106,2022-06-10,sales,72000,27.0,yes
107,not sure,Marketing,65000,150.0,no
108,2023-04-12,IT,91000,31.0,TRUE
102,2020/02/20,HR,78000,29.0,Y
110,2021-09-08,Finance,,45.0,1
111,2020-01-05,Marketing,62000,33.0,0
error,2022-03-12,IT,86000,30.0,Yes
113,,,70000,28.0,No
